Input Date,Item Name,Calories (kcal),Protein (g),Carbohydrates (g),Sugar (g),Fat (g),Saturated Fat (g),Cholesterol (mg),Fiber (g),Omega-3 (mg),Notes,Photo,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6
19/5/2025 6:35pm,"Ya Kun Set B (Kaya + Peanut Butter Toast, 2 Soft-Boiled Eggs, Tea)",450,17,32,7,25,6,370,1,0,"Kaya and peanut butter toast, 2 eggs, lightly sweetened tea; high in cholesterol and fat, protein-rich breakfast",,,,,,
19/5/2025 6:35pm,"Unagi Sushi Set (4 Unagi Nigiri, 4 Unagi Maki Rolls)",550,25,65,10,20,5,100,2,1200,"Grilled eel with sweet soy glaze, cucumber, egg, rice, tobiko and sesame; moderate in protein, higher in carbs and fat",,,,,,
19/5/2025 6:36pm,Chicken ban mian ,500,30,60,5,16,4,80,3,0,,,,,,,
19/5/2025 6:47pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
19/5/2025 6:49pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
20/5/2025 12:51pm,Rolled Oats (42g),168,8.6,23.5,1.3,3.7,0.5,0,3.8,0,Plain rolled oats; good source of fiber and complex carbs,,,,,,
20/5/2025 12:51pm,Soy Milk Drink (125g),67,5.4,8.8,4.9,1,0.4,0,1,0,Unsweetened or lightly sweetened soy-based beverage,,,,,,
20/5/2025 12:51pm,Chicken Porridge (1 bowl),310,20,35,0.5,7,1.5,55,0.5,100,"Shredded chicken with plain rice porridge, garnished with scallions and fried shallots",,,,,,
20/5/2025 4:40pm,Roasted Chicken Rice (1 serving),620,30,55,3,26,7,125,1.5,100,"Rice with roasted chicken (with skin), soy-based sauce, and cucumber slices",,,,,,
20/5/2025 7:02pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
20/5/2025 7:03pm,"Salmon Nigiri (5 pieces, ~9g salmon + 20g rice each)",440,21,56,2.5,12,2,65,1,1100,Refined estimate based on 9g salmon and 20g rice per piece,,,,,,
20/5/2025 7:07pm,California Maki (4 pieces),280,6,44,4.5,7,1,25,1,0,"Imitation crab, cucumber, tamago, rice, tobiko; no mayo or sauce",,,,,,
21/5/2025 11:10pm,Soy Milk Drink (125g),67,5.4,8.8,4.9,1,0.4,0,1,0,Unsweetened or lightly sweetened soy-based beverage,,,,,,
21/5/2025 11:10pm,Soy Milk Drink (125g),67,5.4,8.8,4.9,1,0.4,0,1,0,Unsweetened or lightly sweetened soy-based beverage,,,,,,
21/5/2025 11:12pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
21/5/2025 11:15pm,Chicken ban mian ,500,30,60,5,16,4,80,3,0,,,,,,,
22/5/2025 6:44pm,F&N Fruit Tree Fresh Muscat Grape Juice Drink,48,0,12,11.8,0,0,0,,0,,,,,,,
22/5/2025 6:45pm,"Thai Wanton Mee (with Char Siew, Fried + Steamed Dumplings, Extra Noodles)",680,30,85,6,25,6,65,4,0,"Egg noodles, grilled pork, leafy greens, crispy and steamed dumplings, Thai-style sweet-savoury sauce",,,,,,
22/5/2025 6:47pm,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
22/5/2025 6:47pm,Salmon Duo,480,28,66,15,10,2,100,2,2200,,,,,,,
22/5/2025 6:48pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
22/5/2025 6:57pm,Thai Milk Tea (250ml),180,1.5,28,25,6,4,15,0,0,Sweetened tea with condensed milk and sugar; typical street-style portion,,,,,,
23/5/2025 2:10pm,Gummy candy,224,4.3,51.2,35.7,0.2,0.2,0,0,0,,,,,,,
23/5/2025 2:12pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
23/5/2025 2:12pm,Soup Spoon Chicken Special,645.5,71.7,41.6,19.4,21.8,7,200,1.5,0,,,,,,,
23/5/2025 9:32pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
23/5/2025 9:32pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
23/5/2025 9:32pm,"Tori Q (300g rice, 150g yakitori chicken)",765,36,85,10,30,8,120,1.5,100,"Grilled yakitori chicken with tare glaze, seaweed-seasoned white rice; estimated based on portion size",,,,,,
23/5/2025 9:32pm,Gummy candy,224,4.3,51.2,35.7,0.2,0.2,0,0,0,,,,,,,
23/5/2025 9:59pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
24/5/2025 7:30pm,Chicken Mandi (no yogurt),620,42,60,3,22,6,140,2.5,100,"Spiced rice with grilled chicken leg, green chutney, and salad; yogurt not consumed",,,,,,
24/5/2025 7:30pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
24/5/2025 7:30pm,Hazy IPA (295ml),180,2,15,0,0,0,0,0,0,Craft beer; calories mainly from alcohol and residual sugars,,,,,,
24/5/2025 7:30pm,Hazy IPA (295ml),180,2,15,0,0,0,0,0,0,Craft beer; calories mainly from alcohol and residual sugars,,,,,,
24/5/2025 7:30pm,Gummy candy,224,4.3,51.2,35.7,0.2,0.2,0,0,0,,,,,,,
25/5/2025 7:12pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
25/5/2025 7:12pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
25/5/2025 7:12pm,"Tori Q (300g rice, 150g yakitori chicken)",765,36,85,10,30,8,120,1.5,100,"Grilled yakitori chicken with tare glaze, seaweed-seasoned white rice; estimated based on portion size",,,,,,
25/5/2025 7:12pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
25/5/2025 7:12pm,Gummy candy,224,4.3,51.2,35.7,0.2,0.2,0,0,0,,,,,,,
25/5/2025 7:12pm,"White Rice (130g, cooked)",169,3.2,36.2,0.1,0.3,0.1,0,0.3,0,Steamed jasmine or long-grain white rice  ,,,,,,
25/5/2025 7:12pm,"Cod Fish (80g, baked/steamed)",140,17.6,0,0,7,1.2,48,0,500,"Lean white fish, good source of protein and omega-3",,,,,,
26/5/2025 6:51pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
26/5/2025 6:51pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
26/5/2025 6:51pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
26/5/2025 6:51pm,Chicken ban mian ,500,30,60,5,16,4,80,3,0,,,,,,,
26/5/2025 6:51pm,F&N Fruit Tree Fresh Muscat Grape Juice Drink,48,0,12,11.8,0,0,0,,0,,,,,,,
26/5/2025 6:52pm,Turkey Ham (2 Slices),50,12,0,0,0.5,0,30,0,0,,,,,,,
26/5/2025 6:53pm,Gardenia Bread (2 Slices),150,5.6,31.2,2.1,1.1,0.5,0,1.4,0,,,,,,,
26/5/2025 6:57pm,Rolled Oats (80g),320,16.4,44.8,2.5,7.2,1,0,7.2,0,Plain rolled oats; high in fiber and complex carbs,,,,,,
26/5/2025 6:57pm,Soy Drink (150g),81,6.5,10.5,5.9,1.2,0.5,0,1.2,0,Unsweetened or lightly sweetened soy beverage,,,,,,
27/5/2025 8:24pm,Thai Wanton Mee,580,26,60,4,25,6,120,4,100,"Egg noodles, char siew, sausage, dumplings, greens, crispy wanton, light soy/chili dressing",,,,,,
27/5/2025 8:24pm,Thai Milk Tea (250ml),180,1.5,28,25,6,4,15,0,0,Sweetened tea with condensed milk and sugar; typical street-style portion,,,,,,
27/5/2025 8:24pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
27/5/2025 8:25pm,F&N Fruit Tree Fresh Muscat Grape Juice Drink,48,0,12,11.8,0,0,0,,0,,,,,,,
27/5/2025 8:25pm,Turkey Ham (2 Slices),50,12,0,0,0.5,0,30,0,0,,,,,,,
27/5/2025 8:25pm,Gardenia Bread (2 Slices),150,5.6,31.2,2.1,1.1,0.5,0,1.4,0,,,,,,,
27/5/2025 8:25pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
27/5/2025 8:26pm,Gummy candy,224,4.3,51.2,35.7,0.2,0.2,0,0,0,,,,,,,
